cve_id,published,vulnStatus,baseScore,baseSeverity,cvssVersion
CVE-2020-5179,2020-01-02T14:16:37.097,Modified,7.2,HIGH,3.1
CVE-2020-5310,2020-01-03T01:15:11.087,Modified,8.8,HIGH,3.1
CVE-2020-5311,2020-01-03T01:15:11.167,Modified,9.8,CRITICAL,3.1
CVE-2020-5312,2020-01-03T01:15:11.243,Modified,9.8,CRITICAL,3.1
CVE-2020-5313,2020-01-03T01:15:11.320,Modified,7.1,HIGH,3.1
CVE-2020-1785,2020-01-03T15:15:12.070,Modified,5.5,MEDIUM,3.1
CVE-2020-1871,2020-01-03T15:15:12.133,Modified,8.2,HIGH,3.1
CVE-2020-5395,2020-01-03T20:15:12.653,Modified,8.8,HIGH,3.1
CVE-2020-5496,2020-01-03T22:15:13.333,Modified,8.8,HIGH,3.1
CVE-2020-5497,2020-01-04T03:15:10.630,Modified,6.1,MEDIUM,3.1
CVE-2020-5499,2020-01-04T07:15:11.147,Modified,9.8,CRITICAL,3.1
CVE-2020-5305,2020-01-05T23:15:11.467,Modified,4.8,MEDIUM,3.1
CVE-2020-5306,2020-01-05T23:15:11.577,Modified,4.8,MEDIUM,3.1
CVE-2020-5191,2020-01-06T01:15:10.840,Modified,6.1,MEDIUM,3.1
CVE-2020-5192,2020-01-06T01:15:10.917,Modified,8.8,HIGH,3.1
CVE-2020-5519,2020-01-06T13:15:10.833,Modified,9.8,CRITICAL,3.1
CVE-2020-5840,2020-01-06T18:15:24.247,Modified,7.5,HIGH,3.1
CVE-2020-5514,2020-01-06T19:15:11.577,Modified,9.1,CRITICAL,3.1
CVE-2020-5515,2020-01-06T19:15:11.673,Modified,7.2,HIGH,3.1
CVE-2020-5204,2020-01-06T20:15:12.523,Modified,8.8,HIGH,3.1
CVE-2020-5512,2020-01-06T20:15:12.803,Modified,6.8,MEDIUM,3.1
CVE-2020-5513,2020-01-06T20:15:12.913,Modified,6.8,MEDIUM,3.1
CVE-2020-5846,2020-01-06T21:15:11.737,Modified,8.8,HIGH,3.1
CVE-2020-5843,2020-01-07T13:15:10.443,Modified,4.8,MEDIUM,3.1
CVE-2020-5393,2020-01-07T16:15:12.047,Modified,6.1,MEDIUM,3.1
CVE-2020-5307,2020-01-07T19:15:11.167,Modified,9.8,CRITICAL,3.1
CVE-2020-5842,2020-01-07T20:15:09.960,Modified,6.1,MEDIUM,3.1
CVE-2020-5841,2020-01-07T21:15:10.697,Modified,9.8,CRITICAL,3.1
CVE-2020-6163,2020-01-08T02:15:10.553,Modified,6.1,MEDIUM,3.1
CVE-2020-6170,2020-01-08T06:15:12.383,Modified,9.8,CRITICAL,3.1
CVE-2020-0009,2020-01-08T16:15:11.577,Modified,5.5,MEDIUM,3.1
CVE-2020-5183,2020-01-08T18:15:13.353,Modified,7.5,HIGH,3.1
CVE-2020-5510,2020-01-08T18:15:13.963,Modified,9.8,CRITICAL,3.1
CVE-2020-5511,2020-01-08T18:15:14.603,Modified,8.8,HIGH,3.1
CVE-2020-0001,2020-01-08T19:15:12.843,Modified,7.8,HIGH,3.1
CVE-2020-0002,2020-01-08T19:15:12.923,Modified,8.8,HIGH,3.1
CVE-2020-0003,2020-01-08T19:15:13.063,Modified,6.7,MEDIUM,3.1
CVE-2020-0004,2020-01-08T19:15:13.140,Modified,5.5,MEDIUM,3.1
CVE-2020-0006,2020-01-08T19:15:13.187,Modified,6.5,MEDIUM,3.1
CVE-2020-0007,2020-01-08T19:15:13.267,Modified,5.5,MEDIUM,3.1
CVE-2020-0008,2020-01-08T19:15:13.313,Modified,4.7,MEDIUM,3.1
CVE-2020-6583,2020-01-08T20:15:13.030,Modified,6.1,MEDIUM,3.1
CVE-2020-6609,2020-01-08T21:15:11.193,Modified,8.8,HIGH,3.1
CVE-2020-6610,2020-01-08T21:15:11.287,Modified,6.5,MEDIUM,3.1
CVE-2020-6611,2020-01-08T21:15:11.367,Modified,6.5,MEDIUM,3.1
CVE-2020-6612,2020-01-08T21:15:11.457,Modified,8.1,HIGH,3.1
CVE-2020-6613,2020-01-08T21:15:11.537,Modified,8.1,HIGH,3.1
CVE-2020-6614,2020-01-08T21:15:11.630,Modified,8.1,HIGH,3.1
CVE-2020-6615,2020-01-08T21:15:11.693,Modified,6.5,MEDIUM,3.1
CVE-2020-6617,2020-01-08T23:15:10.410,Modified,8.8,HIGH,3.1
CVE-2020-6618,2020-01-08T23:15:10.487,Modified,8.8,HIGH,3.1
CVE-2020-6619,2020-01-08T23:15:10.567,Modified,8.8,HIGH,3.1
CVE-2020-6620,2020-01-08T23:15:10.627,Modified,8.8,HIGH,3.1
CVE-2020-6621,2020-01-08T23:15:10.677,Modified,8.8,HIGH,3.1
CVE-2020-6622,2020-01-08T23:15:10.737,Modified,8.8,HIGH,3.1
CVE-2020-6623,2020-01-08T23:15:10.800,Modified,8.8,HIGH,3.1
CVE-2020-6624,2020-01-09T01:15:16.743,Modified,7.1,HIGH,3.1
CVE-2020-6625,2020-01-09T01:15:16.820,Modified,7.1,HIGH,3.1
CVE-2020-5205,2020-01-09T02:15:13.340,Modified,6.5,MEDIUM,3.1
CVE-2020-6628,2020-01-09T02:15:13.433,Modified,8.8,HIGH,3.1
CVE-2020-6629,2020-01-09T02:15:13.527,Modified,6.5,MEDIUM,3.1
CVE-2020-6630,2020-01-09T02:15:13.590,Modified,5.5,MEDIUM,3.1
CVE-2020-6631,2020-01-09T02:15:13.653,Modified,5.5,MEDIUM,3.1
CVE-2020-6632,2020-01-09T02:15:13.730,Modified,6.1,MEDIUM,3.1
CVE-2020-5308,2020-01-09T13:15:11.087,Modified,6.1,MEDIUM,3.1
CVE-2020-1787,2020-01-09T17:15:12.400,Modified,6.6,MEDIUM,3.1
CVE-2020-1826,2020-01-09T17:15:12.447,Modified,4.4,MEDIUM,3.1
CVE-2020-1786,2020-01-09T18:15:10.530,Modified,4.6,MEDIUM,3.1
CVE-2020-1810,2020-01-09T18:15:10.593,Modified,5.3,MEDIUM,3.1
CVE-2020-1925,2020-01-09T19:15:10.807,Modified,7.5,HIGH,3.1
CVE-2020-6167,2020-01-09T19:15:10.900,Modified,8.8,HIGH,3.1
CVE-2020-6166,2020-01-09T20:15:11.397,Modified,5.4,MEDIUM,3.1
CVE-2020-6168,2020-01-09T20:15:11.473,Modified,7.6,HIGH,3.1
CVE-2020-6750,2020-01-09T20:15:11.567,Modified,5.9,MEDIUM,3.1
CVE-2020-5504,2020-01-09T22:15:13.863,Modified,8.8,HIGH,3.1
CVE-2020-6756,2020-01-09T23:15:10.477,Modified,9.8,CRITICAL,3.1
CVE-2020-6757,2020-01-09T23:15:10.570,Modified,8.8,HIGH,3.1
CVE-2020-6758,2020-01-09T23:15:10.650,Modified,6.1,MEDIUM,3.1
CVE-2020-1765,2020-01-10T15:15:11.723,Modified,5.3,MEDIUM,3.1
CVE-2020-1766,2020-01-10T15:15:12.050,Modified,6.1,MEDIUM,3.1
CVE-2020-1767,2020-01-10T15:15:12.160,Modified,4.3,MEDIUM,3.1
CVE-2020-6162,2020-01-10T17:15:13.720,Modified,9.1,CRITICAL,3.1
CVE-2020-6835,2020-01-10T21:15:12.123,Modified,9.8,CRITICAL,3.1
CVE-2020-6377,2020-01-10T22:15:12.020,Modified,8.8,HIGH,3.1
CVE-2020-6836,2020-01-11T01:15:10.730,Modified,9.8,CRITICAL,3.1
CVE-2020-6838,2020-01-11T03:15:10.950,Modified,9.8,CRITICAL,3.1
CVE-2020-6839,2020-01-11T03:15:11.027,Modified,9.8,CRITICAL,3.1
CVE-2020-6840,2020-01-11T03:15:11.090,Modified,9.8,CRITICAL,3.1
CVE-2020-6847,2020-01-11T04:15:11.097,Modified,5.4,MEDIUM,3.1
CVE-2020-6848,2020-01-13T05:15:12.053,Modified,6.1,MEDIUM,3.1
CVE-2020-6851,2020-01-13T06:15:10.957,Modified,7.5,HIGH,3.1
CVE-2020-6860,2020-01-13T07:15:10.557,Modified,8.8,HIGH,3.1
CVE-2020-6859,2020-01-13T17:15:11.743,Modified,5.3,MEDIUM,3.1
CVE-2020-5195,2020-01-13T18:15:14.610,Modified,6.1,MEDIUM,3.1
CVE-2020-5390,2020-01-13T19:15:12.413,Modified,7.5,HIGH,3.1
CVE-2020-6948,2020-01-13T19:15:12.850,Modified,9.8,CRITICAL,3.1
CVE-2020-6949,2020-01-13T19:15:12.930,Modified,8.8,HIGH,3.1
CVE-2020-5197,2020-01-13T20:15:13.983,Modified,4.3,MEDIUM,3.1
CVE-2020-6832,2020-01-13T20:15:14.063,Modified,5.3,MEDIUM,3.1
CVE-2020-6954,2020-01-13T23:15:11.630,Modified,6.5,MEDIUM,3.1
CVE-2020-6955,2020-01-13T23:15:11.707,Modified,6.1,MEDIUM,3.1
CVE-2020-6958,2020-01-14T00:15:11.410,Modified,9.1,CRITICAL,3.1
CVE-2020-5194,2020-01-14T14:15:11.593,Modified,5.4,MEDIUM,3.1
CVE-2020-5196,2020-01-14T14:15:11.657,Modified,8.1,HIGH,3.1
CVE-2020-5851,2020-01-14T16:15:11.917,Modified,4.6,MEDIUM,3.1
CVE-2020-5852,2020-01-14T17:15:13.520,Modified,7.5,HIGH,3.1
CVE-2020-5853,2020-01-14T17:15:13.597,Modified,5.4,MEDIUM,3.1
CVE-2020-5193,2020-01-14T18:15:11.727,Modified,6.1,MEDIUM,3.1
CVE-2020-6303,2020-01-14T18:15:11.790,Modified,5.4,MEDIUM,3.1
CVE-2020-6304,2020-01-14T18:15:11.883,Modified,7.5,HIGH,3.1
CVE-2020-6305,2020-01-14T18:15:11.977,Modified,6.1,MEDIUM,3.1
CVE-2020-6306,2020-01-14T18:15:12.103,Modified,2.7,LOW,3.1
CVE-2020-6307,2020-01-14T18:15:12.180,Modified,4.3,MEDIUM,3.1
CVE-2020-5180,2020-01-14T19:15:13.530,Modified,7.8,HIGH,3.1
CVE-2020-5505,2020-01-14T19:15:13.640,Modified,9.8,CRITICAL,3.1
CVE-2020-5509,2020-01-14T19:15:13.703,Modified,7.2,HIGH,3.1
CVE-2020-6173,2020-01-14T19:15:13.797,Modified,5.3,MEDIUM,3.1
CVE-2020-7053,2020-01-14T21:15:16.613,Modified,7.8,HIGH,3.1
CVE-2020-7054,2020-01-14T21:15:16.707,Modified,8.8,HIGH,3.1
CVE-2020-7057,2020-01-14T22:15:12.650,Modified,5.3,MEDIUM,3.1
CVE-2020-0601,2020-01-14T23:15:30.207,Analyzed,8.1,HIGH,3.1
CVE-2020-0602,2020-01-14T23:15:30.287,Modified,7.5,HIGH,3.1
CVE-2020-0603,2020-01-14T23:15:30.347,Modified,8.8,HIGH,3.1
CVE-2020-0605,2020-01-14T23:15:30.427,Modified,8.8,HIGH,3.1
CVE-2020-0606,2020-01-14T23:15:30.487,Modified,8.8,HIGH,3.1
CVE-2020-0607,2020-01-14T23:15:30.567,Modified,5.5,MEDIUM,3.1
CVE-2020-0608,2020-01-14T23:15:30.627,Modified,5.5,MEDIUM,3.1
CVE-2020-0609,2020-01-14T23:15:30.690,Modified,9.8,CRITICAL,3.1
CVE-2020-0610,2020-01-14T23:15:30.770,Modified,9.8,CRITICAL,3.1
CVE-2020-0611,2020-01-14T23:15:30.830,Modified,7.5,HIGH,3.1
CVE-2020-0612,2020-01-14T23:15:30.893,Modified,7.5,HIGH,3.1
