cve_id,published,vulnStatus,baseScore,baseSeverity,cvssVersion
CVE-2023-0002,2023-02-08 18:15:11.683000+00:00,Modified,7.8,HIGH,3.1
CVE-2023-0009,2023-06-14 17:15:09.043000+00:00,Modified,7.8,HIGH,3.1
CVE-2023-0011,2023-12-20 08:15:43.503000+00:00,Modified,7.6,HIGH,3.1
CVE-2023-0014,2023-01-10 04:15:09.550000+00:00,Modified,9.8,CRITICAL,3.1
CVE-2023-0016,2023-01-10 04:15:09.797000+00:00,Modified,9.9,CRITICAL,3.1
CVE-2023-0017,2023-01-10 04:15:09.887000+00:00,Modified,9.8,CRITICAL,3.1
CVE-2023-0018,2023-01-10 04:15:09.980000+00:00,Modified,10.0,CRITICAL,3.1
CVE-2023-0020,2023-02-14 04:15:10.773000+00:00,Modified,8.5,HIGH,3.1
CVE-2023-0022,2023-01-10 04:15:10.080000+00:00,Modified,9.9,CRITICAL,3.1
CVE-2023-0026,2023-06-21 17:15:47.597000+00:00,Modified,7.5,HIGH,3.1
CVE-2023-0029,2023-01-01 14:15:09.963000+00:00,Modified,7.5,HIGH,3.1
CVE-2023-0030,2023-03-08 23:15:10.963000+00:00,Modified,7.8,HIGH,3.1
CVE-2023-0035,2023-01-09 03:15:09.503000+00:00,Modified,7.8,HIGH,3.1
CVE-2023-0036,2023-01-09 03:15:09.580000+00:00,Modified,7.8,HIGH,3.1
CVE-2023-0037,2023-03-13 17:15:12.087000+00:00,Modified,9.8,CRITICAL,3.1
CVE-2023-0038,2023-01-03 14:15:10.390000+00:00,Modified,7.2,HIGH,3.1
CVE-2023-0040,2023-01-18 19:15:11.163000+00:00,Modified,7.5,HIGH,3.1
CVE-2023-0041,2023-06-05 01:15:45.810000+00:00,Modified,8.8,HIGH,3.1
CVE-2023-0045,2023-04-25 23:15:09.013000+00:00,Modified,7.5,HIGH,3.1
CVE-2023-0046,2023-01-04 12:15:08.613000+00:00,Modified,7.2,HIGH,3.1
CVE-2023-0048,2023-01-04 14:15:10.117000+00:00,Modified,8.8,HIGH,3.1
CVE-2023-0049,2023-01-04 16:15:09.047000+00:00,Modified,7.8,HIGH,3.1
CVE-2023-0050,2023-03-09 22:15:51.523000+00:00,Modified,8.7,HIGH,3.1
CVE-2023-0051,2023-01-04 18:15:09.287000+00:00,Modified,7.8,HIGH,3.1
CVE-2023-0052,2023-01-20 22:15:10.417000+00:00,Modified,9.8,CRITICAL,3.1
CVE-2023-0053,2023-03-02 01:15:11.590000+00:00,Modified,7.5,HIGH,3.1
CVE-2023-0054,2023-01-04 19:15:09.573000+00:00,Modified,7.8,HIGH,3.1
CVE-2023-0077,2023-01-05 10:15:10.147000+00:00,Modified,9.8,CRITICAL,3.1
CVE-2023-0080,2023-02-13 15:15:20.487000+00:00,Modified,8.8,HIGH,3.1
CVE-2023-0084,2023-03-02 19:15:10.383000+00:00,Modified,7.2,HIGH,3.1
CVE-2023-0088,2023-01-05 19:15:09.687000+00:00,Modified,8.8,HIGH,3.1
CVE-2023-0089,2023-03-08 01:15:10.240000+00:00,Modified,8.8,HIGH,3.1
CVE-2023-0090,2023-03-08 01:15:10.343000+00:00,Modified,9.8,CRITICAL,3.1
CVE-2023-0093,2023-03-06 21:15:10.933000+00:00,Modified,8.8,HIGH,3.1
CVE-2023-0098,2023-02-13 15:15:20.577000+00:00,Modified,8.8,HIGH,3.1
CVE-2023-0100,2023-03-15 15:15:09.533000+00:00,Modified,8.8,HIGH,3.1
CVE-2023-0101,2023-01-20 19:15:17.847000+00:00,Modified,8.8,HIGH,3.1
CVE-2023-0102,2023-02-15 18:15:11.503000+00:00,Modified,9.1,CRITICAL,3.1
CVE-2023-0103,2023-02-15 18:15:11.590000+00:00,Modified,7.5,HIGH,3.1
CVE-2023-0104,2023-02-22 21:15:11.207000+00:00,Modified,9.3,CRITICAL,3.1
CVE-2023-0113,2023-01-07 09:15:21.820000+00:00,Modified,7.5,HIGH,3.1
CVE-2023-0116,2023-05-26 17:15:13.627000+00:00,Modified,7.5,HIGH,3.1
CVE-2023-0118,2023-09-20 14:15:12.827000+00:00,Modified,9.1,CRITICAL,3.1
CVE-2023-0121,2023-06-07 17:15:09.727000+00:00,Modified,7.5,HIGH,3.1
CVE-2023-0122,2023-01-17 21:15:14.853000+00:00,Modified,7.5,HIGH,3.1
CVE-2023-0123,2023-02-03 03:15:08.277000+00:00,Modified,7.8,HIGH,3.1
CVE-2023-0124,2023-02-03 03:15:08.380000+00:00,Modified,7.8,HIGH,3.1
CVE-2023-0126,2023-01-19 20:15:10.850000+00:00,Modified,7.5,HIGH,3.1
CVE-2023-0127,2023-02-11 18:15:11.327000+00:00,Modified,7.8,HIGH,3.1
CVE-2023-0128,2023-01-10 20:15:10.703000+00:00,Modified,8.8,HIGH,3.1
CVE-2023-0129,2023-01-10 20:15:10.760000+00:00,Modified,8.8,HIGH,3.1
CVE-2023-0134,2023-01-10 20:15:11.030000+00:00,Modified,8.8,HIGH,3.1
CVE-2023-0135,2023-01-10 20:15:11.083000+00:00,Modified,8.8,HIGH,3.1
CVE-2023-0136,2023-01-10 20:15:11.137000+00:00,Modified,8.8,HIGH,3.1
CVE-2023-0137,2023-01-10 20:15:11.190000+00:00,Modified,8.8,HIGH,3.1
CVE-2023-0138,2023-01-10 20:15:11.243000+00:00,Modified,8.8,HIGH,3.1
CVE-2023-0142,2023-06-13 07:15:46.203000+00:00,Modified,8.1,HIGH,3.1
CVE-2023-0158,2023-01-17 17:15:11.837000+00:00,Modified,7.5,HIGH,3.1
CVE-2023-0159,2023-02-13 15:15:20.827000+00:00,Modified,7.5,HIGH,3.1
CVE-2023-0163,2024-11-26 12:15:17.390000+00:00,Analyzed,8.4,HIGH,3.1
CVE-2023-0164,2023-01-18 22:15:10.597000+00:00,Modified,8.8,HIGH,3.1
CVE-2023-0179,2023-03-27 22:15:20.963000+00:00,Modified,7.8,HIGH,3.1
CVE-2023-0180,2023-04-01 05:15:07.160000+00:00,Modified,7.1,HIGH,3.1
CVE-2023-0181,2023-04-01 05:15:07.713000+00:00,Modified,7.1,HIGH,3.1
CVE-2023-0182,2023-04-01 05:15:07.787000+00:00,Modified,7.8,HIGH,3.1
CVE-2023-0183,2023-04-01 05:15:07.867000+00:00,Modified,7.1,HIGH,3.1
CVE-2023-0184,2023-04-22 03:15:08.817000+00:00,Modified,8.8,HIGH,3.1
CVE-2023-0185,2023-04-01 05:15:07.927000+00:00,Modified,7.1,HIGH,3.1
CVE-2023-0186,2023-04-01 05:15:07.993000+00:00,Modified,7.1,HIGH,3.1
CVE-2023-0189,2023-04-01 05:15:08.163000+00:00,Modified,8.8,HIGH,3.1
CVE-2023-0191,2023-04-01 05:15:08.240000+00:00,Modified,7.1,HIGH,3.1
CVE-2023-0192,2023-04-01 05:15:08.303000+00:00,Modified,7.8,HIGH,3.1
CVE-2023-0198,2023-04-01 05:15:08.557000+00:00,Modified,7.8,HIGH,3.1
CVE-2023-0200,2023-04-22 03:15:09.057000+00:00,Modified,7.5,HIGH,3.1
CVE-2023-0202,2023-04-22 03:15:09.203000+00:00,Modified,7.8,HIGH,3.1
CVE-2023-0203,2023-04-22 03:15:09.270000+00:00,Modified,7.7,HIGH,3.1
CVE-2023-0204,2023-04-22 03:15:09.330000+00:00,Modified,7.7,HIGH,3.1
CVE-2023-0205,2023-04-22 03:15:09.387000+00:00,Modified,7.7,HIGH,3.1
CVE-2023-0206,2023-04-22 03:15:09.443000+00:00,Modified,7.8,HIGH,3.1
CVE-2023-0207,2023-04-22 03:15:09.497000+00:00,Modified,7.5,HIGH,3.1
CVE-2023-0208,2023-04-01 04:15:08.813000+00:00,Modified,8.4,HIGH,3.1
CVE-2023-0209,2023-04-22 03:15:09.557000+00:00,Modified,8.2,HIGH,3.1
CVE-2023-0210,2023-03-27 22:15:21.040000+00:00,Modified,7.5,HIGH,3.1
CVE-2023-0213,2023-03-29 11:15:07.033000+00:00,Modified,8.8,HIGH,3.1
CVE-2023-0215,2023-02-08 20:15:24.107000+00:00,Modified,7.5,HIGH,3.1
CVE-2023-0216,2023-02-08 20:15:24.160000+00:00,Modified,7.5,HIGH,3.1
CVE-2023-0217,2023-02-08 20:15:24.213000+00:00,Modified,7.5,HIGH,3.1
CVE-2023-0220,2023-02-13 15:15:21.170000+00:00,Modified,8.8,HIGH,3.1
CVE-2023-0224,2024-01-16 16:15:10.440000+00:00,Modified,9.8,CRITICAL,3.1
CVE-2023-0228,2023-03-02 02:15:41.303000+00:00,Modified,8.8,HIGH,3.1
CVE-2023-0232,2023-02-21 09:15:12.107000+00:00,Modified,9.8,CRITICAL,3.1
CVE-2023-0234,2023-02-06 20:15:14.053000+00:00,Modified,8.8,HIGH,3.1
CVE-2023-0240,2023-01-30 14:15:10.403000+00:00,Modified,7.8,HIGH,3.1
CVE-2023-0242,2023-01-18 21:15:11.093000+00:00,Modified,8.8,HIGH,3.1
CVE-2023-0243,2023-01-12 15:15:10.430000+00:00,Modified,9.8,CRITICAL,3.1
CVE-2023-0244,2023-01-12 15:15:10.517000+00:00,Modified,9.8,CRITICAL,3.1
CVE-2023-0245,2023-01-12 15:15:10.597000+00:00,Modified,9.8,CRITICAL,3.1
