week,ycrit
2019-01-07 00:00:00+00:00,12
2019-01-14 00:00:00+00:00,70
2019-01-21 00:00:00+00:00,84
2019-01-28 00:00:00+00:00,51
2019-02-04 00:00:00+00:00,39
2019-02-11 00:00:00+00:00,78
2019-02-18 00:00:00+00:00,84
2019-02-25 00:00:00+00:00,93
2019-03-04 00:00:00+00:00,54
2019-03-11 00:00:00+00:00,205
2019-03-18 00:00:00+00:00,60
2019-03-25 00:00:00+00:00,120
2019-04-01 00:00:00+00:00,129
2019-04-08 00:00:00+00:00,109
2019-04-15 00:00:00+00:00,173
2019-04-22 00:00:00+00:00,128
2019-04-29 00:00:00+00:00,173
2019-05-06 00:00:00+00:00,103
2019-05-13 00:00:00+00:00,78
2019-05-20 00:00:00+00:00,177
2019-05-27 00:00:00+00:00,240
2019-06-03 00:00:00+00:00,122
2019-06-10 00:00:00+00:00,202
2019-06-17 00:00:00+00:00,125
2019-06-24 00:00:00+00:00,103
2019-07-01 00:00:00+00:00,119
2019-07-08 00:00:00+00:00,186
2019-07-15 00:00:00+00:00,171
2019-07-22 00:00:00+00:00,155
2019-07-29 00:00:00+00:00,210
2019-08-05 00:00:00+00:00,142
2019-08-12 00:00:00+00:00,123
2019-08-19 00:00:00+00:00,182
2019-08-26 00:00:00+00:00,302
2019-09-02 00:00:00+00:00,128
2019-09-09 00:00:00+00:00,147
2019-09-16 00:00:00+00:00,167
2019-09-23 00:00:00+00:00,110
2019-09-30 00:00:00+00:00,265
2019-10-07 00:00:00+00:00,160
2019-10-14 00:00:00+00:00,226
2019-10-21 00:00:00+00:00,204
2019-10-28 00:00:00+00:00,101
2019-11-04 00:00:00+00:00,81
2019-11-11 00:00:00+00:00,137
2019-11-18 00:00:00+00:00,279
2019-11-25 00:00:00+00:00,136
2019-12-02 00:00:00+00:00,100
2019-12-09 00:00:00+00:00,114
2019-12-16 00:00:00+00:00,216
2019-12-23 00:00:00+00:00,376
2019-12-30 00:00:00+00:00,80
2020-01-06 00:00:00+00:00,81
2020-01-13 00:00:00+00:00,108
2020-01-20 00:00:00+00:00,163
2020-01-27 00:00:00+00:00,176
2020-02-03 00:00:00+00:00,103
2020-02-10 00:00:00+00:00,122
2020-02-17 00:00:00+00:00,274
2020-02-24 00:00:00+00:00,111
2020-03-02 00:00:00+00:00,140
2020-03-09 00:00:00+00:00,154
2020-03-16 00:00:00+00:00,348
2020-03-23 00:00:00+00:00,180
2020-03-30 00:00:00+00:00,262
2020-04-06 00:00:00+00:00,164
2020-04-13 00:00:00+00:00,112
2020-04-20 00:00:00+00:00,464
2020-04-27 00:00:00+00:00,155
2020-05-04 00:00:00+00:00,140
2020-05-11 00:00:00+00:00,161
2020-05-18 00:00:00+00:00,145
2020-05-25 00:00:00+00:00,185
2020-06-01 00:00:00+00:00,67
2020-06-08 00:00:00+00:00,205
2020-06-15 00:00:00+00:00,328
2020-06-22 00:00:00+00:00,221
2020-06-29 00:00:00+00:00,187
2020-07-06 00:00:00+00:00,122
2020-07-13 00:00:00+00:00,90
2020-07-20 00:00:00+00:00,346
2020-07-27 00:00:00+00:00,114
2020-08-03 00:00:00+00:00,179
2020-08-10 00:00:00+00:00,104
2020-08-17 00:00:00+00:00,266
2020-08-24 00:00:00+00:00,119
2020-08-31 00:00:00+00:00,154
2020-09-07 00:00:00+00:00,155
2020-09-14 00:00:00+00:00,257
2020-09-21 00:00:00+00:00,209
2020-09-28 00:00:00+00:00,188
2020-10-05 00:00:00+00:00,135
2020-10-12 00:00:00+00:00,131
2020-10-19 00:00:00+00:00,286
2020-10-26 00:00:00+00:00,223
2020-11-02 00:00:00+00:00,234
2020-11-09 00:00:00+00:00,163
2020-11-16 00:00:00+00:00,277
2020-11-23 00:00:00+00:00,149
2020-11-30 00:00:00+00:00,90
2020-12-07 00:00:00+00:00,89
2020-12-14 00:00:00+00:00,290
2020-12-21 00:00:00+00:00,173
2020-12-28 00:00:00+00:00,134
2021-01-04 00:00:00+00:00,193
2021-01-11 00:00:00+00:00,179
2021-01-18 00:00:00+00:00,296
2021-01-25 00:00:00+00:00,183
2021-02-01 00:00:00+00:00,214
2021-02-08 00:00:00+00:00,193
2021-02-15 00:00:00+00:00,301
2021-02-22 00:00:00+00:00,179
2021-03-01 00:00:00+00:00,171
2021-03-08 00:00:00+00:00,137
2021-03-15 00:00:00+00:00,263
2021-03-22 00:00:00+00:00,131
2021-03-29 00:00:00+00:00,208
2021-04-05 00:00:00+00:00,232
